"","a","b"
"1","1","University of Oxford"
"2","2","California Institute of Technology"
"3","3","University of Cambridge"
"4","4","Stanford University"
"5","5","Massachusetts Institute of Technology"
"6","6","Princeton University"
"7","7","Harvard University"
"8","8","Yale University"
"9","9","The University of Chicago"
"10","10","Imperial College London"
"11","11","University of Pennsylvania"
"12","12","Johns Hopkins University"
"13","=13","University of California, Berkeley"
"14","=13","ETH Zurich"
"15","15","UCL"
"16","16","Columbia University"
"17","17","University of California, Los Angeles"
"18","18","University of Toronto"
"19","19","Cornell University"
"20","20","Duke University"
"21","21","University of Michigan-Ann Arbor"
"22","22","Northwestern University"
"23","23","Tsinghua University"
"24","24","Peking University"
"25","25","National University of Singapore"
"26","26","University of Washington"
"27","=27","Carnegie Mellon University"
"28","=27","London School of Economics and Political Science"
"29","29","New York University"
"30","30","University of Edinburgh"
"31","31","University of California, San Diego"
"32","=32","LMU Munich"
"33","=32","University of Melbourne"
"34","34","University of British Columbia"
"35","35","University of Hong Kong"
"36","=36","King¡¦s College London"
"37","=36","The University of Tokyo"
"38","=38","Ecole Polytechnique Federale de Lausanne"
"39","=38","Georgia Institute of Technology"
"40","=38","University of Texas at Austin"
"41","41","Karolinska Institute"
"42","42","McGill University"
"43","43","Technical University of Munich"
"44","44","Heidelberg University"
"45","=45","KU Leuven"
"46","=45","Paris Sciences et Lettres ¡V PSL Research University Paris"
"47","47","The Hong Kong University of Science and Technology"
"48","=48","University of Illinois at Urbana-Champaign"
"49","=48","Nanyang Technological University, Singapore"
"50","50","Australian National University"
"51","51","University of Wisconsin-Madison"
"52","52","Washington University in St Louis"
"53","53","Brown University"
"54","54","University of North Carolina at Chapel Hill"
"55","=55","University of California, Davis"
"56","=55","University of Manchester"
"57","=57","University of California, Santa Barbara"
"58","=57","Chinese University of Hong Kong"
"59","59","Wageningen University & Research"
"60","60","University of Sydney"
"61","61","Boston University"
"62","=62","University of Amsterdam"
"63","=62","University of Southern California"
"64","64","Seoul National University"
"65","65","Kyoto University"
"66","66","The University of Queensland"
"67","=67","Delft University of Technology"
