rank,University,Total Students,student staff ratio,pc of int'l students,female:male ratio
1,University of Oxford,20835,10.7,0.42,0.8867924528301887
2,California Institute of Technology,2233,6.3,0.34,0.5625
2,Harvard University,21574,9.5,0.24,1.0
4,Stanford University,16319,7.3,0.23,0.8518518518518519
5,University of Cambridge,19681,11.1,0.39,0.8867924528301887
5,Massachusetts Institute of Technology,11459,8.4,0.33,0.6666666666666666
7,Princeton University,7753,7.5,0.23,0.8867924528301887
8,"University of California, Berkeley",40306,18.9,0.23,1.0408163265306123
9,Yale University,13317,5.9,0.21,1.0408163265306123
10,The University of Chicago,14895,6.1,0.33,0.8518518518518519
12,Imperial College London,17717,11.3,0.59,0.6666666666666666
13,Johns Hopkins University,16552,4.3,0.28,1.0833333333333333
13,University of Pennsylvania,21211,6.4,0.22,1.127659574468085
15,ETH Zurich,20428,14.4,0.41000000000000003,0.47058823529411764
16,Peking University,31606,10.2,0.19,0.8518518518518519
16,Tsinghua University,38221,11.5,0.13,0.5151515151515151
18,University of Toronto,75821,25.5,0.25,1.3255813953488371
18,UCL,35760,10.6,0.5700000000000001,1.380952380952381
20,"University of California, Los Angeles",42054,10.0,0.17,1.2222222222222223
21,National University of Singapore,31819,18.8,0.25,1.0
22,Cornell University,23600,10.3,0.25,1.0
23,Duke University,15785,4.2,0.22,1.0833333333333333
24,University of Michigan-Ann Arbor,44663,8.1,0.17,1.0
24,Northwestern University,18735,13.0,0.19,1.0
26,New York University,45424,11.0,0.35000000000000003,1.3255813953488371
27,London School of Economics and Political Science,10911,12.1,0.72,1.127659574468085
28,Carnegie Mellon University,14163,13.5,0.47000000000000003,0.7543859649122807
29,University of Washington,52059,11.6,0.17,1.173913043478261
30,University of Edinburgh,31631,12.1,0.44,1.564102564102564
30,University of Hong Kong,18037,18.3,0.43,1.173913043478261
32,LMU Munich,34274,33.7,0.18,1.564102564102564
33,University of Melbourne,52098,26.5,0.5,1.3255813953488371
34,"University of California, San Diego",36256,12.2,0.29,0.9230769230769231
35,King’s College London,28248,12.0,0.49,1.631578947368421
37,University of British Columbia,54744,18.9,0.33,1.2222222222222223
38,Technical University of Munich,32672,38.7,0.33,0.5873015873015873
39,Karolinska Institute,7937,9.6,0.24,2.225806451612903
40,Ecole Polytechnique Federale de Lausanne,11266,12.3,0.62,0.4084507042253521
40,Paris Sciences et Lettres – PSL Research University Paris,20547,15.1,0.25,0.8867924528301887
42,Heidelberg University,19530,13.9,0.19,1.2222222222222223
42,KU Leuven,46327,36.3,0.16,1.0408163265306123
44,McGill University,31581,12.6,0.32,1.4390243902439024
45,Georgia Institute of Technology,27838,25.7,0.25,0.4925373134328358
46,"Nanyang Technological University, Singapore",23951,14.7,0.24,0.9230769230769231
47,University of Texas at Austin,49845,16.7,0.1,1.127659574468085
48,University of Illinois at Urbana-Champaign,47202,18.3,0.23,0.9230769230769231
50,University of Manchester,36543,14.3,0.43,1.173913043478261
52,University of North Carolina at Chapel Hill,31064,8.1,0.08,1.380952380952381
53,Wageningen University & Research,14871,20.2,0.27,1.127659574468085
54,Australian National University,18934,17.6,0.47000000000000003,1.0833333333333333
54,The University of Queensland,41914,35.8,0.41000000000000003,1.2222222222222223
57,Monash University,60211,44.1,0.45,1.3255813953488371
58,University of Sydney,47956,19.3,0.47000000000000003,1.4390243902439024
60,Fudan University,33140,11.1,0.12,1.0833333333333333
61,Kyoto University,22299,9.2,0.11,0.3333333333333333
62,Boston University,27785,11.0,0.29,1.4390243902439024
63,University of Southern California,42502,13.2,0.24,0.9607843137254902
65,University of Amsterdam,25556,13.1,0.29,1.380952380952381
67,"University of California, Davis",37222,13.2,0.19,1.4390243902439024
68,"University of California, Santa Barbara",25578,28.2,0.19,1.173913043478261
69,Utrecht University,33569,18.1,0.11,1.4390243902439024
70,UNSW Sydney,48077,40.5,0.44,0.8518518518518519
71,Leiden University,31556,19.4,0.19,1.5
72,Erasmus University Rotterdam,28933,29.3,0.22,1.127659574468085
73,Charite - Universitatsmedizin Berlin,7998,18.7,0.21,1.7777777777777777
75,Delft University of Technology,20133,17.0,0.31,0.4492753623188406
75,University of Zurich,23714,15.0,0.22,1.3255813953488371
78,University of Tubingen,20438,26.2,0.14,1.4390243902439024
78,University of Warwick,22713,14.2,0.43,1.0
80,University of Groningen,29440,23.8,0.27,1.0833333333333333
80,McMaster University,26112,30.2,0.2,1.2727272727272727
82,Emory University,13179,4.4,0.2,1.5
83,Free University of Berlin,27018,43.2,0.23,1.564102564102564
84,Shanghai Jiao Tong University,36638,11.3,0.1,0.7543859649122807
85,Ohio State University,55809,12.4,0.13,1.0
86,University of Glasgow,27625,13.9,0.4,1.4390243902439024
86,University of Minnesota,61321,12.0,0.1,1.173913043478261
88,Sorbonne University,42330,14.2,0.21,1.380952380952381
91,Hong Kong Polytechnic University,21979,26.4,0.29,1.0833333333333333
91,Institut Polytechnique de Paris,6087,6.9,0.4,0.3157894736842105
92,University of Bristol,24110,14.4,0.3,1.2727272727272727
93,"University of Maryland, College Park",34017,16.7,0.11,0.9230769230769231
93,Michigan State University,45689,16.0,0.14,1.0833333333333333
96,University of Copenhagen,30326,4.2,0.18,1.564102564102564
96,Ghent University,38984,35.7,0.11,1.2727272727272727
98,"University of California, Irvine",35944,17.1,0.28,1.0408163265306123
99,Dartmouth College,6378,7.6,0.15,0.9607843137254902
99,Korea Advanced Institute of Science and Technology,9504,10.3,0.1,0.25
101,University of Bern,11556,16.6,0.16,1.3255813953488371
101,University of Helsinki,22628,15.7,0.06,2.0303030303030303
103,University of Basel,9440,12.3,0.3,1.2727272727272727
104,Aarhus University,26521,13.6,0.09,1.2222222222222223
105,University of Birmingham,31364,15.0,0.32,1.380952380952381
105,Nanjing University,37137,17.1,0.09,1.0833333333333333
105,Purdue University West Lafayette,43411,16.6,0.21,0.7857142857142857
108,University of Freiburg,21416,39.7,0.12,1.127659574468085
108,RWTH Aachen University,45628,55.5,0.25,0.4925373134328358
110,University of Sheffield,27263,15.3,0.38,1.0833333333333333
111,University of Adelaide,22061,30.6,0.32,0.9607843137254902
112,University of Bonn,27743,49.8,0.16,1.2727272727272727
113,National Taiwan University,24810,11.4,0.12,0.6949152542372882
113,Vanderbilt University,12366,3.0,0.16,1.2222222222222223
115,Vrije Universiteit Amsterdam,26593,18.6,0.14,1.3255813953488371
116,Lund University,28498,11.2,0.19,1.2222222222222223
117,Universite Paris-Saclay,40884,12.7,0.19,0.9607843137254902
117,Queen Mary University of London,19976,13.5,0.46,1.2222222222222223
119,University of Gottingen,30610,26.6,0.14,1.0833333333333333
119,University of Oslo,21413,13.2,0.19,1.9411764705882353
119,Penn State,46513,14.1,0.16,0.8867924528301887
122,Lancaster University,13510,12.3,0.37,1.0408163265306123
122,Sungkyunkwan University,23104,19.2,0.19,0.7857142857142857
124,University of Southampton,21815,14.1,0.36,1.127659574468085
125,University of Alberta,33475,21.9,0.28,1.2222222222222223
126,Case Western Reserve University,10898,9.4,0.23,1.0
127,University of Leeds,33318,14.6,0.32,1.564102564102564
127,Maastricht University,18159,18.0,0.55,1.5
127,University of Virginia,25377,9.0,0.13,1.0833333333333333
130,Georgetown University,16703,8.6,0.2,1.173913043478261
131,Uppsala University,26917,16.5,0.17,1.380952380952381
132,Arizona State University,48255,19.7,0.18,0.7857142857142857
132,University of Hamburg,30953,59.8,0.13,1.3255813953488371
132,The University of Western Australia,18683,21.3,0.3,0.9607843137254902
136,Rice University,6885,9.2,0.28,0.7543859649122807
137,University of Auckland,32983,22.7,0.32,1.2727272727272727
137,University of Vienna,33852,38.3,0.29,1.9411764705882353
139,Radboud University Nijmegen,21818,17.7,0.15,1.2727272727272727
139,Technical University of Berlin,22118,55.0,0.27,0.5151515151515151
140,University of Pittsburgh-Pittsburgh campus,26841,5.6,0.12,1.173913043478261
141,University of Nottingham,31360,14.8,0.3,1.173913043478261
142,University of Rochester,10177,6.7,0.36,0.9607843137254902
143,University of Antwerp,15347,30.8,0.17,1.2222222222222223
143,University of Exeter,22740,16.1,0.28,1.173913043478261
143,University of Technology Sydney,26955,39.6,0.37,1.0833333333333333
146,Newcastle University,24630,14.5,0.27,1.0833333333333333
146,Trinity College Dublin,17495,21.2,0.32,1.5
146,Ulm University,10284,27.2,0.13,1.0
150,University of Arizona,39616,17.3,0.1,1.127659574468085
151,City University of Hong Kong,9506,10.7,0.56,1.173913043478261
151,University of Sussex,17407,17.6,0.37,1.2222222222222223
151,Yonsei University,18521,14.7,0.21,0.9607843137254902
154,University of Florida,47007,16.3,0.09,1.2727272727272727
155,Universite de Paris,62366,17.0,0.19,1.7777777777777777
156,Pompeu Fabra University,11863,22.9,0.13,1.5
158,University of Aberdeen,13107,16.8,0.44,1.380952380952381
158,University of Colorado Boulder,35491,16.6,0.1,0.8181818181818182
158,Lomonosov Moscow State University,29118,9.1,0.36,1.173913043478261
158,Universite Catholique de Louvain,26424,39.1,0.2,1.173913043478261
162,Durham University,17724,15.0,0.33,1.173913043478261
162,University of Ottawa,35791,25.4,0.22,1.380952380952381
165,University of Wurzburg,23374,35.6,0.1,1.3255813953488371
166,Bielefeld University,25182,70.6,0.08,1.380952380952381
167,Indiana University,66716,12.9,0.14,1.127659574468085
168,Northeastern University,20910,14.1,0.36,0.9230769230769231
169,University of York,17302,14.7,0.26,1.3255813953488371
170,Autonomous University of Barcelona,31595,12.7,0.16,1.4390243902439024
172,University of Bologna,68370,24.3,0.12,1.3255813953488371
172,TU Dresden,30519,32.3,0.17,0.7857142857142857
172,Tufts University,11152,9.9,0.16,1.2727272727272727
178,University of Liverpool,25910,14.7,0.35000000000000003,1.2222222222222223
178,Ulsan National Institute of Science and Technology,3657,13.9,0.1,0.35135135135135137
180,Karlsruhe Institute of Technology,23224,22.6,0.24,0.4084507042253521
181,Huazhong University of Science and Technology,56709,16.2,0.05,0.5625
182,University of East Anglia,15760,13.5,0.26,1.4390243902439024
183,University of Cape Town,21757,13.3,0.16,1.173913043478261
183,University of Notre Dame,12234,10.8,0.13,0.8518518518518519
185,University of Leicester,15029,14.1,0.31,1.173913043478261
185,Pohang University of Science and Technology,3183,10.1,0.03,0.3157894736842105
185,Technical University of Denmark,9321,6.6,0.23,0.47058823529411764
189,Cardiff University,26622,14.7,0.28,1.4390243902439024
190,King Abdulaziz University,32034,7.8,0.22,1.173913043478261
190,"Rutgers, the State University of New Jersey",44870,10.8,0.17,1.0833333333333333
