,rank,University
0,1,University of Oxford
1,2,California Institute of Technology
2,3,University of Cambridge
3,4,Stanford University
4,5,Massachusetts Institute of Technology
5,6,Princeton University
6,7,Harvard University
7,8,Yale University
8,9,The University of Chicago
9,10,Imperial College London
10,11,University of Pennsylvania
11,12,Johns Hopkins University
12,=13,"University of California, Berkeley"
13,=13,ETH Zurich
14,15,UCL
15,16,Columbia University
16,17,"University of California, Los Angeles"
17,18,University of Toronto
18,19,Cornell University
19,20,Duke University
20,21,University of Michigan-Ann Arbor
21,22,Northwestern University
22,23,Tsinghua University
23,24,Peking University
24,25,National University of Singapore
25,26,University of Washington
26,=27,Carnegie Mellon University
27,=27,London School of Economics and Political Science
28,29,New York University
29,30,University of Edinburgh
30,31,"University of California, San Diego"
31,=32,LMU Munich
32,=32,University of Melbourne
33,34,University of British Columbia
34,35,University of Hong Kong
35,=36,King’s College London
36,=36,The University of Tokyo
37,=38,Ecole Polytechnique Federale de Lausanne
38,=38,Georgia Institute of Technology
39,=38,University of Texas at Austin
40,41,Karolinska Institute
41,42,McGill University
42,43,Technical University of Munich
43,44,Heidelberg University
44,=45,KU Leuven
45,=45,Paris Sciences et Lettres – PSL Research University Paris
46,47,The Hong Kong University of Science and Technology
47,=48,University of Illinois at Urbana-Champaign
48,=48,"Nanyang Technological University, Singapore"
49,50,Australian National University
50,51,University of Wisconsin-Madison
51,52,Washington University in St Louis
52,53,Brown University
53,54,University of North Carolina at Chapel Hill
54,=55,"University of California, Davis"
55,=55,University of Manchester
56,=57,"University of California, Santa Barbara"
57,=57,Chinese University of Hong Kong
58,59,Wageningen University & Research
59,60,University of Sydney
60,61,Boston University
61,=62,University of Amsterdam
62,=62,University of Southern California
63,64,Seoul National University
64,65,Kyoto University
65,66,The University of Queensland
66,=67,Delft University of Technology
67,=67,Leiden University
68,69,Erasmus University Rotterdam
69,70,Ohio State University (Main campus)
70,71,UNSW Sydney
71,72,McMaster University
72,73,University of Groningen
73,74,Humboldt University of Berlin
74,=75,Monash University
75,=75,Utrecht University
76,77,University of Warwick
77,78,Penn State (Main campus)
78,79,University of Minnesota
79,=80,Charite - Universitatsmedizin Berlin
80,=80,Emory University
81,=80,University of Science and Technology of China
82,=80,Sorbonne University
83,84,Michigan State University
84,85,University of Montreal
85,86,University of Freiburg
86,87,University of Bristol
87,88,Purdue University West Lafayette
88,89,Sungkyunkwan University (SKKU)
89,90,University of Zurich
90,=91,"University of Maryland, College Park"
91,=91,University of Tubingen
92,93,Ecole Polytechnique
93,=94,University of Basel
94,=94,Dartmouth College
95,=96,"University of California, Irvine"
96,=96,University of Helsinki
97,=96,Lund University
98,=99,University of Glasgow
99,=99,RWTH Aachen University
100,101,University of Copenhagen
101,=102,Georgetown University
102,=102,Uppsala University
103,104,University of Arizona
104,=105,University of Bonn
105,=105,Rice University
106,=107,University of Virginia (Main campus)
107,=107,Zhejiang University
108,109,Fudan University
109,=110,Korea Advanced Institute of Science and Technology (KAIST)
110,=110,Queen Mary University of London
111,112,University of Birmingham
112,=113,University of Bern
113,=113,University of Pittsburgh-Pittsburgh campus
114,115,Aarhus University
115,116,Vanderbilt University
116,=117,Free University of Berlin
117,=117,University of Sheffield
118,119,Case Western Reserve University
119,=120,University of Adelaide
120,=120,National Taiwan University (NTU)
121,122,University of Southampton
122,123,Ghent University
123,124,University of Colorado Boulder
124,125,University of Gottingen
125,126,City University of Hong Kong
126,127,Maastricht University
127,=128,Radboud University Nijmegen
128,=128,University of York
129,130,Universite de Paris
130,=131,University of Oslo
131,=131,The University of Western Australia
132,133,Durham University
133,=134,Indiana University
134,=134,University of Vienna
135,=136,University of Alberta
136,=136,University of Cape Town
137,138,Vrije Universiteit Amsterdam
138,=139,Lancaster University
139,=139,Tufts University
140,=141,University of Ottawa
141,=141,Ulm University
142,143,Pompeu Fabra University
143,=144,University of Geneva
144,=144,Nanjing University
145,=146,University of Exeter
146,=146,Pohang University of Science and Technology (POSTECH)
147,=146,University of Sussex
148,=149,University of Hamburg
149,=149,Sant’Anna School of Advanced Studies – Pisa
150,=149,Technical University of Berlin
151,=152,Universite Catholique de Louvain
152,=152,University of Nottingham
153,=152,Scuola Normale Superiore di Pisa
154,=155,Arizona State University (Tempe)
155,=155,University of Leeds
156,=157,Autonomous University of Barcelona
157,=157,University of Cologne
158,=157,University of Mannheim
159,=157,University of Notre Dame
160,=157,Shanghai Jiao Tong University
161,=157,TU Dresden
162,163,University of Wurzburg
163,164,Trinity College Dublin
164,165,University of Liverpool
165,=166,Bielefeld University
166,=166,University of Leicester
167,=168,University of Aberdeen
168,=168,University of Bologna
169,=168,"Rutgers, the State University of New Jersey"
170,171,Hong Kong Polytechnic University
171,172,University of Alabama at Birmingham
172,=173,Northeastern University
173,=173,University of Rochester
174,=175,University of Florida
175,=175,Karlsruhe Institute of Technology
176,=175,Stockholm University
177,178,Texas A&M University
178,=179,University of Auckland
179,=179,"University of California, Santa Cruz"
180,=179,Korea University
181,=179,Queensland University of Technology
182,183,University of Erlangen-Nuremberg
183,=184,Aalto University
184,=184,Technical University of Denmark
185,=186,Eindhoven University of Technology
186,=186,University of Gothenburg
187,188,Telecom Paris
188,=189,Lomonosov Moscow State University
189,=189,University of Munster
190,=189,Tel Aviv University
191,192,University of East Anglia
192,193,University of Canberra
193,=194,University of Duisburg-Essen
194,=194,University of Technology Sydney
195,=194,University of the Witwatersrand
196,197,Yonsei University (Seoul campus)
197,=198,University of Antwerp
198,=198,Cardiff University
199,=198,George Washington University
200,=198,University of Lausanne
201,=198,University of St Andrews
202,201–250,Aalborg University
203,201–250,University of Barcelona
204,201–250,University of Bergen
205,201–250,Brandeis University
206,201–250,University of Calgary
207,201–250,Copenhagen Business School
208,201–250,University of Dundee
209,201–250,Ecole Normale Superieure de Lyon
210,201–250,Griffith University
211,201–250,University of Hawai’i at M<U+0101>noa
212,201–250,Hebrew University of Jerusalem
213,201–250,University of Hohenheim
214,201–250,Howard University
215,201–250,University of Iowa
216,201–250,James Cook University
217,201–250,King Abdulaziz University
218,201–250,University of Konstanz
219,201–250,KTH Royal Institute of Technology
220,201–250,Universite Libre de Bruxelles
221,201–250,University of Luxembourg
222,201–250,Macquarie University
223,201–250,University of Massachusetts
224,201–250,Medical University of Graz
225,201–250,Medical University of Vienna
226,201–250,University of Miami
227,201–250,Moscow Institute of Physics and Technology (MIPT)
228,201–250,Newcastle University
229,201–250,University of Otago
230,201–250,University of Padua
231,201–250,Paris-Sud University
232,201–250,Queen’s University Belfast
233,201–250,RCSI University of Medicine and Health Sciences
234,201–250,University of Reading
235,201–250,"St George’s, University of London"
236,201–250,University of South Florida (Tampa)
237,201–250,Tilburg University
238,201–250,University of Twente
239,201–250,Ulsan National Institute of Science and Technology (UNIST)
240,201–250,University College Dublin
241,201–250,University of Utah
242,201–250,Virginia Polytechnic Institute and State University
243,201–250,Vita-Salute San Raffaele University
244,201–250,Vrije Universiteit Brussel
245,201–250,Wake Forest University
246,201–250,University of Waterloo
247,201–250,Western University
248,201–250,William & Mary
249,201–250,University of Wollongong
250,251–300,Alfaisal University
251,251–300,Auckland University of Technology
