rank,University,Total Students,student staff ratio,pc of int'l students,female:male ratio
1,University of Oxford,"20,835",10.7,42%,47 : 53
=2,California Institute of Technology,"2,233",6.3,34%,36 : 64
=2,Harvard University,"21,574",9.5,24%,50 : 50
4,Stanford University,"16,319",7.3,23%,46 : 54
=5,University of Cambridge,"19,681",11.1,39%,47 : 53
=5,Massachusetts Institute of Technology,"11,459",8.4,33%,40 : 60
7,Princeton University,"7,753",7.5,23%,47 : 53
8,"University of California, Berkeley","40,306",18.9,23%,51 : 49
9,Yale University,"13,317",5.9,21%,51 : 49
10,The University of Chicago,"14,895",6.1,33%,46 : 54
11,Columbia University,"21,608",4.6,35%,
12,Imperial College London,"17,717",11.3,59%,40 : 60
=13,Johns Hopkins University,"16,552",4.3,28%,52 : 48
=13,University of Pennsylvania,"21,211",6.4,22%,53 : 47
15,ETH Zurich,"20,428",14.4,41%,32 : 68
=16,Peking University,"31,606",10.2,19%,46 : 54
=16,Tsinghua University,"38,221",11.5,13%,34 : 66
=18,University of Toronto,"75,821",25.5,25%,57 : 43
=18,UCL,"35,760",10.6,57%,58 : 42
20,"University of California, Los Angeles","42,054",10.0,17%,55 : 45
21,National University of Singapore,"31,819",18.8,25%,50 : 50
22,Cornell University,"23,600",10.3,25%,50 : 50
23,Duke University,"15,785",4.2,22%,52 : 48
=24,University of Michigan-Ann Arbor,"44,663",8.1,17%,50 : 50
=24,Northwestern University,"18,735",13.0,19%,50 : 50
26,New York University,"45,424",11.0,35%,57 : 43
27,London School of Economics and Political Science,"10,911",12.1,72%,53 : 47
28,Carnegie Mellon University,"14,163",13.5,47%,43 : 57
29,University of Washington,"52,059",11.6,17%,54 : 46
=30,University of Edinburgh,"31,631",12.1,44%,61 : 39
=30,University of Hong Kong,"18,037",18.3,43%,54 : 46
32,LMU Munich,"34,274",33.7,18%,61 : 39
33,University of Melbourne,"52,098",26.5,50%,57 : 43
34,"University of California, San Diego","36,256",12.2,29%,48 : 52
=35,King’s College London,"28,248",12.0,49%,62 : 38
=35,The University of Tokyo,"25,959",10.6,14%,
37,University of British Columbia,"54,744",18.9,33%,55 : 45
38,Technical University of Munich,"32,672",38.7,33%,37 : 63
39,Karolinska Institute,"7,937",9.6,24%,69 : 31
=40,Ecole Polytechnique Federale de Lausanne,"11,266",12.3,62%,29 : 71
=40,Paris Sciences et Lettres – PSL Research University Paris,"20,547",15.1,25%,47 : 53
=42,Heidelberg University,"19,530",13.9,19%,55 : 45
=42,KU Leuven,"46,327",36.3,16%,51 : 49
44,McGill University,"31,581",12.6,32%,59 : 41
45,Georgia Institute of Technology,"27,838",25.7,25%,33 : 67
46,"Nanyang Technological University, Singapore","23,951",14.7,24%,48 : 52
47,University of Texas at Austin,"49,845",16.7,10%,53 : 47
48,University of Illinois at Urbana-Champaign,"47,202",18.3,23%,48 : 52
49,Chinese University of Hong Kong,"18,478",19.1,25%,
50,University of Manchester,"36,543",14.3,43%,54 : 46
51,Washington University in St Louis,"14,243",7.9,22%,
52,University of North Carolina at Chapel Hill,"31,064",8.1,8%,58 : 42
53,Wageningen University & Research,"14,871",20.2,27%,53 : 47
=54,Australian National University,"18,934",17.6,47%,52 : 48
=54,The University of Queensland,"41,914",35.8,41%,55 : 45
=54,Seoul National University,"26,871",15.4,11%,
57,Monash University,"60,211",44.1,45%,57 : 43
=58,University of Sydney,"47,956",19.3,47%,59 : 41
=58,University of Wisconsin-Madison,"39,783",10.3,14%,
60,Fudan University,"33,140",11.1,12%,52 : 48
61,Kyoto University,"22,299",9.2,11%,25 : 75
62,Boston University,"27,785",11.0,29%,59 : 41
63,University of Southern California,"42,502",13.2,24%,49 : 51
64,Brown University,"9,851",10.6,20%,
65,University of Amsterdam,"25,556",13.1,29%,58 : 42
66,The Hong Kong University of Science and Technology,"10,147",21.3,31%,
67,"University of California, Davis","37,222",13.2,19%,59 : 41
68,"University of California, Santa Barbara","25,578",28.2,19%,54 : 46
69,Utrecht University,"33,569",18.1,11%,59 : 41
70,UNSW Sydney,"48,077",40.5,44%,46 : 54
71,Leiden University,"31,556",19.4,19%,60 : 40
72,Erasmus University Rotterdam,"28,933",29.3,22%,53 : 47
73,Charite - Universitatsmedizin Berlin,"7,998",18.7,21%,64 : 36
74,Humboldt University of Berlin,"33,868",54.2,18%,
=75,Delft University of Technology,"20,133",17.0,31%,31 : 69
=75,Zhejiang University,"40,352",11.8,20%,
=75,University of Zurich,"23,714",15.0,22%,57 : 43
=78,University of Tubingen,"20,438",26.2,14%,59 : 41
=78,University of Warwick,"22,713",14.2,43%,50 : 50
=80,University of Groningen,"29,440",23.8,27%,52 : 48
=80,McMaster University,"26,112",30.2,20%,56 : 44
82,Emory University,"13,179",4.4,20%,60 : 40
83,Free University of Berlin,"27,018",43.2,23%,61 : 39
84,Shanghai Jiao Tong University,"36,638",11.3,10%,43 : 57
85,Ohio State University (Main campus),"55,809",12.4,13%,50 : 50
=86,University of Glasgow,"27,625",13.9,40%,59 : 41
=86,University of Minnesota,"61,321",12.0,10%,54 : 46
=88,University of Montreal,"36,524",19.6,23%,
=88,University of Science and Technology of China,"16,718",7.3,5%,
=88,Sorbonne University,"42,330",14.2,21%,58 : 42
91,Hong Kong Polytechnic University,"21,979",26.4,29%,52 : 48
91,Institut Polytechnique de Paris,"6,087",6.9,40%,24 : 76
92,University of Bristol,"24,110",14.4,30%,56 : 44
=93,"University of Maryland, College Park","34,017",16.7,11%,48 : 52
=93,Michigan State University,"45,689",16.0,14%,52 : 48
=96,University of Copenhagen,"30,326",4.2,18%,61 : 39
=96,Ghent University,"38,984",35.7,11%,56 : 44
98,"University of California, Irvine","35,944",17.1,28%,51 : 49
=99,Dartmouth College,"6,378",7.6,15%,49 : 51
=99,Korea Advanced Institute of Science and Technology (KAIST),"9,504",10.3,10%,20 : 80
=101,University of Bern,"11,556",16.6,16%,57 : 43
=101,University of Helsinki,"22,628",15.7,6%,67 : 33
103,University of Basel,"9,440",12.3,30%,56 : 44
104,Aarhus University,"26,521",13.6,9%,55 : 45
=105,University of Birmingham,"31,364",15.0,32%,58 : 42
=105,Nanjing University,"37,137",17.1,9%,52 : 48
=105,Purdue University West Lafayette,"43,411",16.6,21%,44 : 56
=108,University of Freiburg,"21,416",39.7,12%,53 : 47
=108,RWTH Aachen University,"45,628",55.5,25%,33 : 67
110,University of Sheffield,"27,263",15.3,38%,52 : 48
111,University of Adelaide,"22,061",30.6,32%,49 : 51
112,University of Bonn,"27,743",49.8,16%,56 : 44
