"","rank","University","Total.Students","student.staff.ratio","pc.of.int.l.students","female.male.ratio"
"1","1","University of Oxford","20,835",10.7,"42%","47 : 53"
"2","=2","California Institute of Technology","2,233",6.3,"34%","36 : 64"
"3","=2","Harvard University","21,574",9.5,"24%","50 : 50"
"4","4","Stanford University","16,319",7.3,"23%","46 : 54"
"5","=5","University of Cambridge","19,681",11.1,"39%","47 : 53"
"6","=5","Massachusetts Institute of Technology","11,459",8.4,"33%","40 : 60"
"7","7","Princeton University","7,753",7.5,"23%","47 : 53"
"8","8","University of California, Berkeley","40,306",18.9,"23%","51 : 49"
"9","9","Yale University","13,317",5.9,"21%","51 : 49"
"10","10","The University of Chicago","14,895",6.1,"33%","46 : 54"
"11","11","Columbia University","21,608",4.6,"35%","n/a"
"12","12","Imperial College London","17,717",11.3,"59%","40 : 60"
"13","=13","Johns Hopkins University","16,552",4.3,"28%","52 : 48"
"14","=13","University of Pennsylvania","21,211",6.4,"22%","53 : 47"
"15","15","ETH Zurich","20,428",14.4,"41%","32 : 68"
"16","=16","Peking University","31,606",10.2,"19%","46 : 54"
"17","=16","Tsinghua University","38,221",11.5,"13%","34 : 66"
"18","=18","University of Toronto","75,821",25.5,"25%","57 : 43"
"19","=18","UCL","35,760",10.6,"57%","58 : 42"
"20","20","University of California, Los Angeles","42,054",10,"17%","55 : 45"
"21","21","National University of Singapore","31,819",18.8,"25%","50 : 50"
"22","22","Cornell University","23,600",10.3,"25%","50 : 50"
"23","23","Duke University","15,785",4.2,"22%","52 : 48"
"24","=24","University of Michigan-Ann Arbor","44,663",8.1,"17%","50 : 50"
"25","=24","Northwestern University","18,735",13,"19%","50 : 50"
"26","26","New York University","45,424",11,"35%","57 : 43"
"27","27","London School of Economics and Political Science","10,911",12.1,"72%","53 : 47"
"28","28","Carnegie Mellon University","14,163",13.5,"47%","43 : 57"
"29","29","University of Washington","52,059",11.6,"17%","54 : 46"
"30","=30","University of Edinburgh","31,631",12.1,"44%","61 : 39"
"31","=30","University of Hong Kong","18,037",18.3,"43%","54 : 46"
"32","32","LMU Munich","34,274",33.7,"18%","61 : 39"
"33","33","University of Melbourne","52,098",26.5,"50%","57 : 43"
"34","34","University of California, San Diego","36,256",12.2,"29%","48 : 52"
"35","=35","King¡¦s College London","28,248",12,"49%","62 : 38"
"36","=35","The University of Tokyo","25,959",10.6,"14%","n/a"
"37","37","University of British Columbia","54,744",18.9,"33%","55 : 45"
"38","38","Technical University of Munich","32,672",38.7,"33%","37 : 63"
"39","39","Karolinska Institute","7,937",9.6,"24%","69 : 31"
"40","=40","Ecole Polytechnique Federale de Lausanne","11,266",12.3,"62%","29 : 71"
"41","=40","Paris Sciences et Lettres ¡V PSL Research University Paris","20,547",15.1,"25%","47 : 53"
"42","=42","Heidelberg University","19,530",13.9,"19%","55 : 45"
"43","=42","KU Leuven","46,327",36.3,"16%","51 : 49"
"44","44","McGill University","31,581",12.6,"32%","59 : 41"
"45","45","Georgia Institute of Technology","27,838",25.7,"25%","33 : 67"
"46","46","Nanyang Technological University, Singapore","23,951",14.7,"24%","48 : 52"
"47","47","University of Texas at Austin","49,845",16.7,"10%","53 : 47"
"48","48","University of Illinois at Urbana-Champaign","47,202",18.3,"23%","48 : 52"
"49","49","Chinese University of Hong Kong","18,478",19.1,"25%","n/a"
"50","50","University of Manchester","36,543",14.3,"43%","54 : 46"
"51","51","Washington University in St Louis","14,243",7.9,"22%","n/a"
"52","52","University of North Carolina at Chapel Hill","31,064",8.1,"8%","58 : 42"
"53","53","Wageningen University & Research","14,871",20.2,"27%","53 : 47"
"54","=54","Australian National University","18,934",17.6,"47%","52 : 48"
"55","=54","The University of Queensland","41,914",35.8,"41%","55 : 45"
"56","=54","Seoul National University","26,871",15.4,"11%","n/a"
"57","57","Monash University","60,211",44.1,"45%","57 : 43"
"58","=58","University of Sydney","47,956",19.3,"47%","59 : 41"
"59","=58","University of Wisconsin-Madison","39,783",10.3,"14%","n/a"
"60","60","Fudan University","33,140",11.1,"12%","52 : 48"
"61","61","Kyoto University","22,299",9.2,"11%","25 : 75"
"62","62","Boston University","27,785",11,"29%","59 : 41"
"63","63","University of Southern California","42,502",13.2,"24%","49 : 51"
"64","64","Brown University","9,851",10.6,"20%","n/a"
"65","65","University of Amsterdam","25,556",13.1,"29%","58 : 42"
"66","66","The Hong Kong University of Science and Technology","10,147",21.3,"31%","n/a"
"67","67","University of California, Davis","37,222",13.2,"19%","59 : 41"
"68","68","University of California, Santa Barbara","25,578",28.2,"19%","54 : 46"
"69","69","Utrecht University","33,569",18.1,"11%","59 : 41"
"70","70","UNSW Sydney","48,077",40.5,"44%","46 : 54"
"71","71","Leiden University","31,556",19.4,"19%","60 : 40"
"72","72","Erasmus University Rotterdam","28,933",29.3,"22%","53 : 47"
"73","73","Charite - Universitatsmedizin Berlin","7,998",18.7,"21%","64 : 36"
"74","74","Humboldt University of Berlin","33,868",54.2,"18%","n/a"
"75","=75","Delft University of Technology","20,133",17,"31%","31 : 69"
"76","=75","Zhejiang University","40,352",11.8,"20%","n/a"
"77","=75","University of Zurich","23,714",15,"22%","57 : 43"
"78","=78","University of Tubingen","20,438",26.2,"14%","59 : 41"
"79","=78","University of Warwick","22,713",14.2,"43%","50 : 50"
"80","=80","University of Groningen","29,440",23.8,"27%","52 : 48"
"81","=80","McMaster University","26,112",30.2,"20%","56 : 44"
"82","82","Emory University","13,179",4.4,"20%","60 : 40"
"83","83","Free University of Berlin","27,018",43.2,"23%","61 : 39"
"84","84","Shanghai Jiao Tong University","36,638",11.3,"10%","43 : 57"
"85","85","Ohio State University (Main campus)","55,809",12.4,"13%","50 : 50"
