"","University","qs_students","the_students","continent","diff","pdiff","outlier"
"1","Aalborg University",16952,16519,"europe",433,0.02587,"not outlier"
"2","Aalto University",13154,12815,"europe",339,0.02611,"not outlier"
"3","Aarhus University",28177,26521,"europe",1656,0.06055,"not outlier"
"4","Aberystwyth University",6264,6446,"europe",-182,-0.02864,"not outlier"
"5","Abo Akademi University",5501,5309,"europe",192,0.03552,"not outlier"
"6","Adam Mickiewicz University, Pozna<U+0144>",33714,33714,"europe",0,0,"not outlier"
"7","AGH University of Science and Technology",22979,21317,"europe",1662,0.07504,"not outlier"
"8","Ain Shams University",155929,201733,"africa",-45804,-0.25613,"outlier & student qs < the"
"9","Airlangga University",26723,27351,"asia",-628,-0.02323,"not outlier"
"10","Aix-Marseille University",67724,69951,"europe",-2227,-0.03235,"not outlier"
"11","Ajman University",5125,5003,"asia",122,0.02409,"not outlier"
"12","Ajou University",9554,9073,"asia",481,0.05165,"not outlier"
"13","Al-Azhar University",299054,376303,"africa",-77249,-0.22876,"outlier & student qs < the"
"14","Al-Balqa Applied University",29814,29814,"asia",0,0,"not outlier"
"15","Al-Farabi Kazakh National University",23167,23253,"asia",-86,-0.00371,"not outlier"
"16","Al Ain University",2918,2918,"asia",0,0,"not outlier"
"17","Alexandria University",186865,188711,"africa",-1846,-0.00983,"not outlier"
"18","Alexandru Ioan Cuza University",23479,24047,"europe",-568,-0.0239,"not outlier"
"19","Aligarh Muslim University",18484,22215,"asia",-3731,-0.18335,"not outlier"
"20","Altai State University",8562,8502,"europe",60,0.00703,"not outlier"
"21","American University",11660,12683,"north_america",-1023,-0.08405,"not outlier"
"22","American University of Sharjah",4276,4476,"asia",-200,-0.0457,"not outlier"
"23","Amirkabir University of Technology",11550,11550,"asia",0,0,"not outlier"
"24","Amity University",30030,31059,"asia",-1029,-0.03369,"not outlier"
"25","Amrita Vishwa Vidyapeetham",19224,14994,"asia",4230,0.24724,"outlier & student qs > the"
"26","An-Najah National University",18396,23053,"asia",-4657,-0.22471,"outlier & student qs < the"
"27","Anadolu University",33226,29612,"asia",3614,0.11503,"not outlier"
"28","Anna University",15503,14966,"asia",537,0.03525,"not outlier"
"29","Aoyama Gakuin University",19330,19275,"asia",55,0.00285,"not outlier"
"30","Aristotle University of Thessaloniki",47133,49057,"europe",-1924,-0.04,"not outlier"
"31","Assiut University",71419,92965,"africa",-21546,-0.26214,"outlier & student qs < the"
"32","Aston University",11334,11517,"europe",-183,-0.01602,"not outlier"
"33","Ateneo de Manila University",10716,12742,"asia",-2026,-0.17273,"not outlier"
"34","Athens University of Economics and Business",10371,9180,"europe",1191,0.12184,"not outlier"
"35","Auburn University",27321,27469,"north_america",-148,-0.0054,"not outlier"
"36","Australian Catholic University",23750,23750,"oceania",0,0,"not outlier"
"37","Azerbaijan State University of Economics",17275,16737,"asia",538,0.03164,"not outlier"
"38","Bahauddin Zakariya University",28162,30872,"asia",-2710,-0.09181,"not outlier"
"39","Baku State University",23103,22039,"asia",1064,0.04714,"not outlier"
"40","Banaras Hindu University",24246,13900,"asia",10346,0.54244,"outlier & student qs > the"
"41","Bandung Institute of Technology (ITB)",19120,18239,"asia",881,0.04716,"not outlier"
"42","Bangladesh University of Engineering and Technology",6268,5941,"asia",327,0.05357,"not outlier"
"43","Bangor University",8802,8802,"europe",0,0,"not outlier"
"44","Bar-Ilan University",16809,16498,"asia",311,0.01867,"not outlier"
"45","Bauman Moscow State Technical University",18011,18011,"europe",0,0,"not outlier"
"46","Baylor University",17101,18242,"north_america",-1141,-0.06457,"not outlier"
"47","Beijing Institute of Technology",31656,33771,"asia",-2115,-0.06465,"not outlier"
"48","Beijing Jiaotong University",27932,30608,"asia",-2676,-0.09142,"not outlier"
"49","Beijing Normal University",23688,23424,"asia",264,0.01121,"not outlier"
"50","Beijing University of Technology",23126,22746,"asia",380,0.01657,"not outlier"
"51","Beirut Arab University",6824,6824,"asia",0,0,"not outlier"
"52","Belarusian State University",22639,24684,"europe",-2045,-0.08643,"not outlier"
"53","Belarusian State University of Informatics and Radioelectronics",13966,14737,"europe",-771,-0.05372,"not outlier"
"54","Benemerita Universidad Autonoma de Puebla",77933,79502,"latin_america",-1569,-0.01993,"not outlier"
"55","Bielefeld University",24888,25182,"europe",-294,-0.01174,"not outlier"
"56","Bilkent University",9676,9961,"asia",-285,-0.02903,"not outlier"
"57","Birkbeck, University of London",8051,8406,"europe",-355,-0.04314,"not outlier"
"58","Birla Institute of Technology and Science, Pilani",14216,14849,"asia",-633,-0.04356,"not outlier"
