"","University","qs_students","qs_z","qs_ranking","qs_rank","the_students","the_z","the_ranking","the_rank","z_distance","ranking_distance","diff","pdiff","outlier"
"1","Aalborg University",16952,-0.294275599670748,577,"=326",16519,-0.13607677868978,1168.5,"201¡V250",-0.158198820980968,-591.5,433,0.02587,"not outlier"
"2","Aalto University",13154,-0.472261853209428,423.5,"=112",12815,-0.300275827886893,943,"201¡V250",-0.171986025322535,-519.5,339,0.02611,"not outlier"
"3","Aarhus University",28177,0.231763288157498,925,"155",26521,0.307313850378666,1604,"104",-0.075550562221168,-679,1656,0.06055,"not outlier"
"4","Aberystwyth University",6264,-0.795148974557901,106,"541-550",6446,-0.582614851735816,444,"501¡V600",-0.212534122822085,-338,-182,-0.02864,"not outlier"
"5","Abo Akademi University",5501,-0.830905559984445,82,"601-650",5309,-0.633018285574131,354,"601¡V800",-0.197887274410314,-272,192,0.03552,"not outlier"
"6","Adam Mickiewicz University, Pozna<U+0144>",33714,0.491244564051039,1042,"801-1000",33714,0.626180956446385,1813,"1001¡V1200",-0.134936392395346,-771,0,0,"not outlier"
"7","AGH University of Science and Technology",22979,-0.0118313790078672,783,"801-1000",21317,0.0766195058803463,1409,"1201+",-0.0884508848882135,-626,1662,0.07504,"not outlier"
"8","Ain Shams University",155929,6.21862475789773,1266,"801-1000",201733,8.07449630392201,2107,"1001¡V1200",-1.85587154602428,-841,-45804,-0.25613,"outlier & student qs < the"
"9","Airlangga University",26723,0.163624264290926,892,"=465",27351,0.344107913778667,1634,"1201+",-0.180483649487741,-742,-628,-0.02323,"not outlier"
"10","Aix-Marseille University",67724,2.08506038365359,1240,"501-510",69951,2.23257430033293,2073,"301¡V350",-0.147513916679344,-833,-2227,-0.03235,"not outlier"
"11","Ajman University",5125,-0.848526105358469,71,"701-750",5003,-0.646583325815577,334,"Reporter",-0.201942779542892,-263,122,0.02409,"not outlier"
"12","Ajou University",9554,-0.64096920253519,248,"531-540",9073,-0.46615942456497,670,"601¡V800",-0.174809777970221,-422,481,0.05165,"not outlier"
"13","Al-Azhar University",299054,12.9259134724116,1271,"1001-1200",376303,15.8132187710764,2110,"1001¡V1200",-2.88730529866488,-839,-77249,-0.22876,"outlier & student qs < the"
"14","Al-Balqa Applied University",29814,0.308478268948129,962,"1201+",29814,0.453293188663248,1715,"801¡V1000",-0.144814919715119,-753,0,0,"not outlier"
"15","Al-Farabi Kazakh National University",23167,-0.00302110632085513,789,"175",23253,0.16244276701577,1495,"1201+",-0.165463873336625,-706,-86,-0.00371,"not outlier"
"16","Al Ain University",2918,-0.951953083125679,24,"701-750",2918,-0.739011786284254,170.5,"Reporter",-0.212941296841425,-146.5,0,0,"not outlier"
"17","Alexandria University",186865,7.66838324643711,1269,"1001-1200",188711,7.4972284803138,2105,"1001¡V1200",0.171154766123312,-836,-1846,-0.00983,"not outlier"
