"x"
"1","University of Cape Town"
"2","University of Witwatersrand"
"3","University of Johannesburg"
"4","The American University in Cairo"
"5","Stellenbosch University"
"6","Cairo University"
"7","University of Pretoria"
"8","Universite de Sousse"
"9","Ain Shams University"
"10","Rhodes University"
"11","University of Kwazulu-Natal"
"12","Al-Azhar University"
"13","Alexandria University"
"14","Assiut University"
"15","British University in Egypt"
"16","Makerere University"
"17","North-West University"
"18","Suez Canal University"
"19","University of Ghana"
"20","University of Nairobi"
"21","University of the Western Cape"
"22","German University in Cairo"
"23","Helwan University"
"24","Mansoura University"
"25","Sudan University of Science and Technology"
"26","Tanta University"
"27","University of Khartoum"
"28","Universite Mohammed V de Rabat"
"29","Universite de Tunis"
"30","Universite de Tunis El Manar"
"31","Zagazig University"
