"x"
"1","The Australian National University"
"2","The University of Melbourne"
"3","The University of Sydney"
"4","The University of New South Wales (UNSW Sydney)"
"5","The University of Queensland"
"6","Monash University"
"7","The University of Auckland"
"8","The University of Western Australia"
"9","The University of Adelaide"
"10","University of Technology Sydney"
"11","University of Wollongong"
"12","Curtin University"
"13","University of Otago"
"14","The University of Newcastle, Australia (UON)"
"15","Macquarie University"
"16","RMIT University"
"17","Queensland University of Technology (QUT)"
"18","Victoria University of Wellington"
"19","University of Canterbury | Te Whare W<U+0101>nanga o Waitaha"
"20","Deakin University"
"21","Massey University"
"22","Griffith University"
"23","University of Tasmania"
"24","Swinburne University of Technology"
"25","University of South Australia"
"26","La Trobe University"
"27","Lincoln University"
"28","University of Waikato"
"29","Flinders University"
"30","James Cook University"
"31","University of Canberra"
"32","Auckland University of Technology (AUT)"
"33","Bond University"
"34","Western Sydney University"
"35","Murdoch University"
"36","Central Queensland University (CQUniversity Australia)"
"37","Victoria University"
"38","Edith Cowan University"
"39","Charles Darwin University"
"40","University of Southern Queensland"
"41","Southern Cross University"
"42","Australian Catholic University"
"43","Charles Sturt University"
"44","University of New England Australia"
"45","University of the Sunshine Coast"
"46","The University of Notre Dame, Australia"
